ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1046328;1;20240917;5;20240917;1607.72;1658.71;F;50.99;F;0;F;0;;;
20260215;1;1414;19;1046339;1;20240919;5;20240919;30848.44;31831.54;F;983.1;F;0;F;0;;;
20260215;1;1414;19;1046355;1;20240917;5;20240917;2333.87;2407.92;F;74.05;F;0;F;0;;;
20260215;1;1414;19;1046361;1;20240917;5;20240917;20726.14;20827.49;F;101.35;F;0;F;0;;;
20260215;1;1414;19;1046406;1;20240916;5;20240916;4898.01;4921.33;F;23.32;F;0;F;0;;;
20260215;1;1414;19;1046408;1;20240918;5;20240918;2291.81;2364.41;F;72.6;F;0;F;0;;;
20260215;1;1414;19;1046419;1;20241003;5;20241003;3049.29;3079.16;F;29.87;F;0;F;0;;;
20260215;1;1414;19;1046426;1;20240927;5;20240927;1362.46;1362.46;F;0;F;0;F;0;;;
20260215;1;1414;19;1046441;1;20240917;5;20240917;56641.61;58437.99;F;1796.38;F;0;F;0;;;
20260215;1;1414;19;1046452;1;20240917;5;20240917;525.35;541.98;F;16.63;F;0;F;0;;;
20260215;1;1414;19;1046453;1;20240917;5;20240917;3656.82;3770.79;F;113.97;F;0;F;0;;;
20260215;1;1414;19;1046466;1;20240919;5;20240919;9624.4;9691.78;F;67.38;F;0;F;0;;;
20260215;1;1414;19;1046468;1;20241003;5;20241003;3879.41;3897.96;F;18.55;F;0;F;0;;;
20260215;1;1414;19;1046479;1;20240918;5;20240918;1410.92;1455.87;F;44.95;F;0;F;0;;;
20260215;1;1414;19;1046536;1;20240927;5;20240927;2096.56;2096.56;F;0;F;0;F;0;;;
20260215;1;1414;19;1046555;1;20240930;5;20240930;10342.42;10379.39;F;36.97;F;0;F;0;;;
20260215;1;1414;19;1046580;1;20240919;5;20240919;1516.2;1564.49;F;48.29;F;0;F;0;;;
20260215;1;1414;19;1046592;1;20240918;5;20240918;19166.7;19772.23;F;605.53;F;0;F;0;;;
20260215;1;1414;19;1046599;1;20240919;5;20240919;2375.84;2451.06;F;75.22;F;0;F;0;;;
20260215;1;1414;19;1046621;1;20240920;5;20240920;1884.16;1943.61;F;59.45;F;0;F;0;;;
20260215;1;1414;19;1046634;1;20240918;5;20240918;10654.05;10991.73;F;337.68;F;0;F;0;;;
20260215;1;1414;19;1046640;1;20240927;5;20240927;1350.05;1350.05;F;0;F;0;F;0;;;
20260215;1;1414;19;1046673;1;20240920;5;20240920;4171.14;4185.56;F;14.42;F;0;F;0;;;
20260215;1;1414;19;1046674;1;20240920;5;20240920;1533.94;1582.33;F;48.39;F;0;F;0;;;
