ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_CD_CONV;ENT_NR_CPFCNPJ;ENT_NM_CONV;ENT_NM_CONVR;ENT_NM_END;ENT_NR_END;ENT_DS_COMPL;ENT_NM_BAIRRO;ENT_NM_CIDADE;ENT_SG_ESTADO;ENT_CD_PAIS;ENT_NR_CEP;ENT_NR_DDD;ENT_NR_TEL;ENT_NR_DDDCEL;ENT_NR_CEL;ENT_NR_DDDFAX;ENT_NR_FAX;ENT_NM_EMAIL;ENT_CD_INSTAN;ENT_CD_PODER;ENT_CD_INSAUT;ENT_TP_CLACV;ENT_TP_CONV;ENT_NR_DIACT;ENT_NR_DIAVCT;ENT_QT_CAREN;ENT_TP_DIAVCT;ENT_ID_CRBANC;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20251117;1;1414;66;3,36831E+13;SERVICO FEDERAL DE PROCESSAMENTO DE DADO;SIAPE;SETOR DE GRANDE AREA NORTE (SGAN), Q 601;;LOTE V;ASA NORTE;BRASILIA DF;DF;;70836900;;;;;;;;;;;C;;;0;;;;;;
20251117;1;1414;67;2,9979E+13;INSTITUTO NACIONAL DO SEGURO SOCIAL;INSS;SETOR DE AUTARQUIAS SUL;;Q2 - BL O;ASA SUL;BRASILIA DF;DF;;70070946;;;;;;;;;;;C;;;0;;;;;;
20251117;1;1414;68;1,69821E+13;MADALOSSO EVENTOS LTDA;MADALOSSO EVENT;AVENIDA MANOEL RIBAS 5890;;;CASCATINHA;CURITIBA;PR;;82400000;;;;;;;;;;;C;;20;31;;;;;;
20251117;1;1414;69;7,66877E+13;IRMAOS MADALOSSO LTDA;IRMAOS MADALOSS;AVENIDA MANOEL RIBAS 5875;;;SANTA FELICIDADE;CURITIBA;PR;;82400000;;;;;;;;;;;C;;20;31;;;;;;
20251117;1;1414;70;7,66087E+13;INSTITUTO DE PREVIDENCIA DOS SERVIDORES ;PREV CTBA IPMC;AV. JOAO GUALBERTO, 623;;;ALTO DA GLORIA;CURITIBA;PR;;80030080;;;;;;;;;;;C;;;0;;;;;;
20251117;1;1414;71;4,24223E+13;SIMULADOR INSS;SIMULADOR INSS;SETOR DE AUTARQUIAS SUL;;Q2 - BL O;ASA SUL;BRASILIA DF;DF;;70070946;;;;;;;;;;;C;;;0;;;;;;
20251117;1;1414;72;1,28036E+12;Inst de Prev dos Serv do Mun de Joinvill;IPREVILLE;PraÃ§a Nereu Ramos, 372;;;Centro;Joinville;SC;;89201170;;;;;;;;;;;C;;24;10;;;;;;
20251117;1;1414;73;9,29249E+12;Instituto de PrevidÃªncia de SÃ£o Mateus d;IPRESMAT;Avenida Ulisses Faria, 955;;;Centro;SÃ£o Mateus do Sul;PR;;83900000;;;;;;;;;;;C;;1;15;;;;;;
20251117;1;1414;74;7,89094E+12;Instituto de PrevidÃªncia PensÃµes e Apose;IPPASA;ArataiaÃ§u 331;;;Vila SÃ£o Vicente;Arapongas;PR;;86707005;;;;;;;;;;;C;;15;10;;;;;;
20251117;1;1414;75;5,06727E+12;FAPEN - INSTITUTO DE APOSENTADORIAS E PE;PREV CAMPO LARG;R GONCALVES DIAS;;870;CENTRO;CAMPO LARGO;PR;;83601130;;;;;;;;;;;C;;15;10;;;;;;
20251117;1;1414;76;7,60712E+13;A.S.P.M.A - ASSOCIAÃ‡ÃƒO DOS SERVIDORES PÃš;ASPMA AraucÃ¡ria;RUA RAIMUNDO SUCKOW;;CASA;JARDIM IGUAÃ‡U;ARAUCÃRIA;PR;;83701040;;;;;;;;;;;C;;9;10;;;;;;
20251117;1;1414;77;8,31023E+13;MUNICIPIO DE BALNEARIO CAMBORIU;BAL. CAMBORIU;R DINAMARCA, 320;;;;;;;88338900;;;;;;;;;;;C;;12;0;;;;;;
20251117;1;1414;78;7,60175E+13;MUNICÃPIO DE GUARATUBA;PREF GUARATUBA;Av. 29 de Abril;;;Centro;Guaratuba;PR;;83280000;;;;;;;;;;;C;;15;0;;;;;;
20251117;1;1414;79;7,61057E+13;MUNICÃPIO DE PIRAQUARA;PREF PIRAQUARA;Av. GetÃºlio Vargas, 1990;;;Centro;Piraquara;PR;;83301010;;;;;;;;;;;C;;17;0;;;;;;
20251117;1;1414;80;4,63772E+13;GOVERNO DE SÃƒO PAULO;GOV SP;Av. Rangel Pestana;;;SÃ©;SÃ£o Paulo;SP;;1017000;;;;;;;;;;;C;;8;0;;;;;;
20251117;1;1414;81;8,69673E+12;PIRAQUARAPREV;PREV PIRAQUARA;"Rua BarÃ£o do Cerro Azul						";;"Sala 16			";"Centro	";"Piraquara			";PR;;83301000;;;;;;;;;;;C;;20;0;;;;;;
20251117;1;1414;82;4,19851E+12;POLÃCIA MILITAR DO ESTADO DE SÃƒO PAULO;POL. MILITAR SP;AV CRUZEIRO DO SUL;;;"CANINDE	";SÃ£o Paulo;;;3033020;;;;;;;;;;;C;;5;0;;;;;;
20251117;1;1414;83;4,6395E+13;MUNICÃPIO DE SÃƒO PAULO;PREF SP;Viaduto do Cha;;;Centro;SÃ£o Paulo;;;1002020;;;;;;;;;;;C;;5;0;;;;;;
20251117;1;1414;100;1,19706E+13;COBRANÃ‡A;COBRANÃ‡A;;;;;;;;80050152;;;;;;;;;;;C;;;0;;;;;;
20251117;1;1414;1000;2,56649E+13;TESTE;TESTE;;;;;;Na;;89812000;;;;;;;;;;;C;;;0;;;;;;
